name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Seoul,South Korea",2022-01-11,32.2,14.1,20.4,26.4,4.2,10.3,7.3,57.3,0.414,100,8.33,snow,0.5,0.2,25.1,12.7,281.7,1020.6,10.4,11.1,132.2,11.6,4,10,2022-01-11T07:46:53,2022-01-11T17:32:57,0.27,Snow,Clear conditions throughout the day with snow clearing later.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-12,25.1,11.6,18,18.1,2.9,10.9,1.6,49,0,0,0,,0,0,19.2,7.9,289.6,1023.4,24.9,12.3,127.5,11.1,4,10,2022-01-12T07:46:42,2022-01-12T17:33:56,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-13,26.3,16.9,20.9,19.3,8.2,13.5,2.5,44.6,0,0,0,,0,0.1,34.4,12.5,278.5,1021.8,26.3,12.3,131.3,11.4,4,10,2022-01-13T07:46:28,2022-01-13T17:34:56,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-14,34,14.1,22.8,30.5,6,18.7,2.4,42.3,0,0,0,,0,0.1,23.5,6.2,259.7,1026,17.2,12.3,135.3,11.7,4,10,2022-01-14T07:46:13,2022-01-14T17:35:57,0.37,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-15,35.1,22.6,29.5,34.8,15.9,25.2,11.9,47.5,0,0,0,snow,0.2,0,6,6.8,40,1023.1,88.4,12.3,72.9,6.5,3,10,2022-01-15T07:45:55,2022-01-15T17:36:58,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-16,36.5,20.7,29.9,34.1,11.2,22.9,14.5,54.5,0,0,0,snow,0,0.1,23.5,10.1,268.2,1024.6,27.1,10.5,137.2,11.7,5,10,2022-01-16T07:45:36,2022-01-16T17:38:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-17,31.7,15.4,22,27.2,9.7,16.3,9.2,58.2,0.372,100,4.17,snow,0,0,24.8,8.9,278.2,1027.7,25.3,11.6,108.7,9.4,4,10,2022-01-17T07:45:14,2022-01-17T17:39:03,0.47,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-18,30.5,15,21.8,24.4,6.9,15.3,4.1,47.6,0.019,100,4.17,snow,0,0.1,18.3,6.9,292.3,1028.8,6.2,12.3,139.7,12.1,5,10,2022-01-18T07:44:51,2022-01-18T17:40:06,0.5,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-19,27.2,19.1,22.8,26.7,11.1,17.5,14.4,70.4,1.119,100,8.33,snow,0.2,0.1,15.4,7.6,343.5,1025.2,53.8,8,79.3,6.8,3,10,2022-01-19T07:44:25,2022-01-19T17:41:10,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-20,33.2,14.4,23,32.1,7.2,19.3,12.2,64.7,0.064,100,4.17,snow,0,0.3,7.4,7.8,323.6,1028.8,0.2,10.4,141,12.3,5,10,2022-01-20T07:43:58,2022-01-20T17:42:15,0.57,Snow,Clear conditions throughout the day with late afternoon snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-21,39.5,16.6,27,37.6,9.4,23,12.3,56.1,0,0,0,,0,0.1,3.8,6,28.3,1030.5,0.3,12.1,145.7,12.6,5,10,2022-01-21T07:43:28,2022-01-21T17:43:19,0.61,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-22,43.9,22.9,31.8,43.8,16.7,28.3,15.8,53,0,0,0,,0,0,2.9,6.9,341.2,1026.6,48.8,12.1,114.4,10,4,10,2022-01-22T07:42:57,2022-01-22T17:44:25,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-23,43.1,31.1,35.6,40.6,28.1,33.2,19.3,51.3,0,0,0,,0,0,5.6,6.4,291.5,1022.5,55.3,10,122.3,10.5,4,10,2022-01-23T07:42:24,2022-01-23T17:45:30,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-24,46.7,33.7,39.8,43.3,27.3,34.5,25.3,57,0,0,0,,0,0,11.2,11.4,59.8,1021.7,46.9,12.1,133.4,11.7,4,10,2022-01-24T07:41:49,2022-01-24T17:46:36,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-25,40.2,35.7,37.5,38.4,30.2,33.5,31,78.1,0.198,100,8.33,"rain,snow",0.2,0.1,13.6,9.8,44.4,1020.9,97.8,8.1,28.6,2.6,2,10,2022-01-25T07:41:12,2022-01-25T17:47:42,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-26,43.8,28.9,34.8,40.4,24.8,31.3,23,65.1,0.007,100,4.17,"rain,snow",0,0,13.4,7.8,272.9,1024.2,24.8,8,146.2,12.7,5,10,2022-01-26T07:40:33,2022-01-26T17:48:48,0.79,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-27,38.6,23.9,30.7,33.9,18.8,26.4,13.6,49.6,0,0,0,,0,0,14.1,7.7,277.2,1025,32,10.2,133.3,11.4,5,10,2022-01-27T07:39:53,2022-01-27T17:49:55,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-28,35.7,21.8,27.6,30.3,15.2,21,11.3,50.8,0,0,0,,0,0,12.5,10.8,274.1,1025.1,21.7,12.3,155,13.4,5,10,2022-01-28T07:39:10,2022-01-28T17:51:01,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-01-29,33,19.4,25.6,28.1,13.2,20.3,8,48.5,0,0,0,,0,0,15.7,9.9,287,1022.7,6,12.3,157.3,13.4,5,10,2022-01-29T07:38:26,2022-01-29T17:52:08,0.89,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-30,35.8,17.7,26.7,31.1,13.4,22.3,7.2,44.9,0,0,0,,0,0,15.2,8.9,283.5,1022.2,6,12.3,157.5,13.6,5,10,2022-01-30T07:37:41,2022-01-30T17:53:15,0.93,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-01-31,40.2,19.8,30,36.5,14.7,26,16,56.7,0,0,0,snow,0.5,0,15.7,8.4,234.2,1024,34.2,11.4,142.2,12.3,5,10,2022-01-31T07:36:53,2022-01-31T17:54:22,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-01,33.1,27.5,30.2,29.2,21.7,24.3,23.8,77.1,1.097,100,8.33,"rain,snow",0.4,0.6,21.7,9,264.3,1024.6,69.3,7.3,136.6,11.7,4,10,2022-02-01T07:36:04,2022-02-01T17:55:29,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-02,31.7,21.8,26.2,24.6,14.7,21,14.2,62.3,0.002,100,4.17,snow,0,0.4,16.3,8.4,275.8,1028.6,33.1,10.6,165.9,14.5,5,10,2022-02-02T07:35:13,2022-02-02T17:56:36,0.03,"Snow, Partially cloudy",Clearing in the afternoon with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-03,32.3,19.6,26.2,25.9,14.2,20.2,10.5,52.8,0,0,0,,0,0.3,17.7,9.9,288.9,1027.3,14.6,12.3,168.4,14.5,5,10,2022-02-03T07:34:21,2022-02-03T17:57:42,0.06,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-04,30.3,17.8,23.3,23.1,8.2,16.8,7.9,52.2,0,0,0,,0,0.3,24.8,10.9,279.6,1025.4,27,12.3,150.3,12.9,5,10,2022-02-04T07:33:27,2022-02-04T17:58:49,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-05,27.6,14.7,20.3,19.6,5.5,12.3,3.6,48.3,0,0,0,,0,0.3,26.8,12.9,275.3,1026.4,8.7,12.3,159.2,13.7,5,10,2022-02-05T07:32:32,2022-02-05T17:59:56,0.13,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-06,34,16.9,24.9,26.6,12.3,19.7,8.7,51,0,0,0,,0,0.2,23,11.6,281.5,1027.8,9.1,12.3,165.5,14.3,5,10,2022-02-06T07:31:35,2022-02-06T18:01:02,0.16,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999,RKSS"
"Seoul,South Korea",2022-02-07,35.6,19.2,27.2,30.6,15.7,24.2,10.5,50.6,0,0,0,,0,0,17.7,8.8,275.9,1028.7,60.7,12.3,123.2,10.7,4,10,2022-02-07T07:30:36,2022-02-07T18:02:09,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-08,41.3,24.7,31.8,37.5,19.5,28.7,15.5,53.2,0,0,0,,0,0,9.8,7.4,297.6,1027.3,27.3,12.3,167.8,14.6,5,10,2022-02-08T07:29:36,2022-02-08T18:03:15,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-09,44.7,24.3,33.6,42.3,18.6,30.2,17.2,54,0,0,0,,0,0,3.6,7.3,341.5,1025.9,50.4,12.2,150.4,13.1,5,10,2022-02-09T07:28:35,2022-02-09T18:04:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-10,43.8,26.2,34.9,40.7,22,31.4,19.8,55.2,0,0,0,,0,0,11.2,9.5,274.7,1023.2,20.4,11.8,176.4,15.4,5,10,2022-02-10T07:27:32,2022-02-10T18:05:26,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-11,47.3,27.3,36.8,44.6,22.1,34.3,24,61.9,0,0,0,,0,0,7.6,7.3,288.3,1026.1,23.8,6.4,171.2,14.8,5,10,2022-02-11T07:26:28,2022-02-11T18:06:32,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-12,50.2,31.8,40.5,50.2,27.5,38.6,22.3,53.4,0,0,0,,0,0,6.7,7,273.2,1025,47.5,7.1,171.7,14.9,6,10,2022-02-12T07:25:23,2022-02-12T18:07:37,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-13,48.5,34.7,40.8,48.3,30.9,38.9,19.2,42,0,0,0,,0,0,6,6.9,21.1,1022,64,11.3,118.9,10.3,4,10,2022-02-13T07:24:16,2022-02-13T18:08:42,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-14,46.5,31.2,36.8,42.6,22.7,32.4,27,68.8,0.639,100,4.17,snow,0,0,25.3,10.9,257,1020.2,61.5,9.2,103.8,9.1,4,10,2022-02-14T07:23:08,2022-02-14T18:09:47,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-15,29.9,18.6,24.6,21.6,8.6,15.7,11.7,58.1,0.064,100,4.17,snow,0,0.3,21.3,9.7,271.1,1021.9,71.8,10.6,185.9,16.1,6,10,2022-02-15T07:21:59,2022-02-15T18:10:51,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-16,24,15.3,19.2,15.2,4,9.2,3,49.7,0,0,0,,0,0.4,23.9,13.6,284.2,1023.8,14.6,12.2,193.8,16.7,6,10,2022-02-16T07:20:49,2022-02-16T18:11:56,0.48,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-17,30.4,13,20.5,24.7,3.8,13.6,0.6,42.1,0,0,0,,0,0.2,23.9,9.3,279.3,1028.2,0.1,12.3,202.2,17.6,6,10,2022-02-17T07:19:37,2022-02-17T18:13:00,0.5,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-18,41.9,17.7,28.9,40.1,9.3,25,6.7,40.6,0,0,0,snow,0,0,6.5,6.2,342.2,1030.1,34.7,12.2,188.2,16.2,6,10,2022-02-18T07:18:25,2022-02-18T18:14:03,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-19,38.3,21.5,30.2,34.8,10.9,24.8,14.3,51.8,0.037,100,4.17,snow,0,0,24.6,14.6,278.6,1024.1,75.9,12.1,140.1,12.2,4,10,2022-02-19T07:17:11,2022-02-19T18:15:06,0.59,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-20,31.1,17.1,23.4,23.7,5.4,13.7,2.8,41.6,0.004,100,4.17,snow,0,0,25.9,12.5,272.8,1026.1,0.5,12.3,207.2,17.8,6,10,2022-02-20T07:15:57,2022-02-20T18:16:09,0.62,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-21,38.3,17.8,26.8,30.9,11.8,21.1,12,53.7,0.004,100,4.17,"rain,snow",0,0.1,28.4,12.4,258.9,1027.7,27.4,11.8,192.4,16.7,6,10,2022-02-21T07:14:41,2022-02-21T18:17:12,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-22,31.7,18.6,24.4,24.1,10.8,16.5,4.8,43,0.004,100,4.17,snow,0,0.1,26.2,11,280.9,1031.9,15.2,12.3,190.6,16.5,6,10,2022-02-22T07:13:24,2022-02-22T18:18:14,0.69,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-23,30.8,14.7,21.9,23.5,8.1,14.6,-0.3,38.7,0,0,0,,0,0,18.8,10.7,283,1033.2,0.2,12.3,215.3,18.7,6,10,2022-02-23T07:12:07,2022-02-23T18:19:16,0.73,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-24,38.4,17.1,27,32.2,12.5,23.1,9.8,49,0,0,0,,0,0,18.3,9,269.3,1031,0.1,12.3,210.7,18.1,6,10,2022-02-24T07:10:48,2022-02-24T18:20:18,0.75,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-25,46.7,25.6,36.2,42.5,19.1,32.8,29.1,76.3,0,0,0,,0,0,17.4,10,228.5,1026.8,38.8,6.4,202.4,17.4,6,10,2022-02-25T07:09:29,2022-02-25T18:21:19,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-26,48.5,35.1,42.4,44.3,29.7,37.4,36.2,79.3,0.418,100,4.17,rain,0,0,31.1,13,212.4,1018,87.4,5.7,158.8,14,5,10,2022-02-26T07:08:08,2022-02-26T18:22:20,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-02-27,47.6,29.5,38.4,42.5,25.3,34.4,23.9,56.8,0.042,100,4.17,rain,0,0,26.4,13.7,234,1021.1,0.1,11.7,217,18.8,6,10,2022-02-27T07:06:47,2022-02-27T18:23:21,0.87,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-02-28,52.1,36.7,43.6,52.1,33.4,42.2,30.9,63.5,0,0,0,rain,0,0,9.2,6.3,194.5,1021,77.2,12.2,146.3,12.5,4,10,2022-02-28T07:05:26,2022-02-28T18:24:21,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-01,48.4,33.9,43.2,45.4,29,40.4,33.9,71,0.87,100,4.17,rain,0,0,17.7,10.4,265.2,1014.6,69.9,8.6,147.6,12.7,5,10,2022-03-01T07:04:03,2022-03-01T18:25:21,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-02,47.4,28,37.6,43.2,23.5,33.4,21.9,54.5,0,0,0,,0,0,23.7,10.6,240.4,1017.7,1,12.1,226.8,19.6,7,10,2022-03-02T07:02:40,2022-03-02T18:26:21,0.98,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-03,53.6,33.8,42.5,53.6,30,40.7,24.7,55.4,0,0,0,,0,0,24.2,9.1,256.3,1017.7,12.1,9.7,229.7,19.8,7,10,2022-03-03T07:01:16,2022-03-03T18:27:20,0,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-04,57.9,33.1,44.3,57.9,28.3,41.8,30.3,58.9,0,0,0,rain,0,0,43.6,17.2,197.7,1011.9,46.8,9.9,197.6,17.1,6,10,2022-03-04T06:59:51,2022-03-04T18:28:19,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,RKSM,47110099999,47119099999,47127043216,47122099999,47099099999,47108099999,RKSS"
"Seoul,South Korea",2022-03-05,43.9,31.7,37.3,38.5,23.4,30.6,13.6,40.1,0,0,0,,0,0,31.5,15.2,270.2,1014.9,0.6,11.2,237.1,20.4,7,10,2022-03-05T06:58:26,2022-03-05T18:29:18,0.08,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-06,43.9,27,34.6,40,22.5,29.7,10.6,38.3,0,0,0,,0,0,23.7,10.5,274.3,1021.6,7.6,12.3,242.6,20.9,7,10,2022-03-06T06:57:00,2022-03-06T18:30:16,0.11,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-07,47.4,27.4,36.5,44.4,21.4,33.4,16.8,46,0,0,0,,0,0,8.3,6.5,280.4,1020.9,67.4,12.3,210.3,18,6,10,2022-03-07T06:55:34,2022-03-07T18:31:14,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
"Seoul,South Korea",2022-03-08,53.8,33.9,42.5,53.8,31.5,41,26.4,53.5,0,0,0,,0,0,8.3,8.5,274.8,1019.2,56.2,11.6,203,17.4,6,10,2022-03-08T06:54:07,2022-03-08T18:32:12,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-03-09,57.4,34.8,44.6,57.4,30.5,43.1,33.8,68.8,0,0,0,,0,0,4.9,7.6,266.6,1021.7,22.5,7.1,237.7,20.7,7,10,2022-03-09T06:52:40,2022-03-09T18:33:10,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-03-10,59.3,39.3,48.3,59.3,36,47.5,28.8,52.1,0,0,0,,0,0,12.8,10.4,256.6,1020.7,73,9,189.3,16.5,6,10,2022-03-10T06:51:12,2022-03-10T18:34:07,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47108099999"
"Seoul,South Korea",2022-03-11,64.6,41,51.5,64.6,38.6,50.9,36.9,57.8,0,0,0,,0,0,8.7,6.5,329.4,1018.3,56.2,10.7,220.1,19.2,6,10,2022-03-11T06:49:44,2022-03-11T18:35:05,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47099099999,47108099999"
